,BoroughName,1st_Dose_Uptake_%,2nd_Dose_Uptake_%
491,Hillingdon,72.5,67.7
492,Hillingdon,69.7,63.9
493,Hillingdon,71.4,66.0
494,Hillingdon,70.0,65.5
495,Hillingdon,70.7,65.4
496,Hillingdon,70.5,65.6
497,Hillingdon,74.5,70.4
498,Hillingdon,71.5,66.5
499,Hillingdon,68.9,63.6
500,Hillingdon,68.5,63.5
501,Hillingdon,70.5,66.4
502,Hillingdon,67.9,62.5
503,Hillingdon,57.1,50.0
504,Hillingdon,68.6,63.9
505,Hounslow,75.5,72.2
506,Hounslow,70.7,66.1
507,Hounslow,72.3,66.6
508,Hounslow,69.4,62.9
509,Hounslow,73.2,69.5
510,Hounslow,75.8,72.8
511,Hounslow,76.4,73.3
512,Hounslow,72.3,68.8
513,Hounslow,71.0,66.3
514,Hounslow,69.2,64.5
515,Hounslow,65.0,60.7
516,Hounslow,69.1,64.5
517,Hounslow,74.7,70.3
518,Hounslow,67.8,63.5
519,Hounslow,66.0,61.2
520,Hounslow,64.7,60.0
521,Hounslow,62.5,57.4
522,Hounslow,74.5,71.1
523,Hounslow,73.8,69.4
524,Hounslow,69.7,64.6
525,Hounslow,70.4,65.7
526,Hounslow,70.8,66.3
527,Hounslow,70.3,65.3
528,Hounslow,67.8,62.7
529,Hounslow,72.0,66.9
530,Hounslow,68.9,64.5
531,Hounslow,76.7,72.1
532,Islington,65.8,61.3
533,Islington,69.3,65.8
534,Islington,65.8,62.0
535,Islington,68.9,65.3
536,Islington,61.0,56.1
537,Islington,72.0,68.8
538,Islington,63.9,59.9
539,Islington,69.8,65.6
540,Islington,71.0,67.5
541,Islington,65.7,61.3
542,Islington,65.7,59.6
543,Islington,65.2,60.7
544,Islington,70.6,67.2
545,Islington,70.6,66.8
546,Islington,60.4,53.7
547,Islington,68.7,64.5
548,Islington,70.2,66.6
549,Islington,68.1,64.1
550,Islington,61.5,54.7
551,Islington,66.7,62.3
552,Islington,58.8,52.6
553,Islington,60.8,53.6
554,Islington,62.8,56.0
555,Kensington and Chelsea,59.4,54.5
556,Kensington and Chelsea,62.7,58.7
557,Kensington and Chelsea,65.2,61.4
558,Kensington and Chelsea,61.2,57.4
559,Kensington and Chelsea,62.3,58.8
560,Kensington and Chelsea,64.7,59.9
561,Kensington and Chelsea,68.7,64.8
562,Kensington and Chelsea,68.3,63.5
563,Kensington and Chelsea,63.2,58.8
564,Kensington and Chelsea,60.4,53.3
565,Kensington and Chelsea,64.6,59.5
566,Kensington and Chelsea,61.0,55.3
567,Kensington and Chelsea,56.3,49.9
568,Kensington and Chelsea,65.1,59.3
569,Kensington and Chelsea,58.7,52.8
570,Kensington and Chelsea,61.8,55.6
571,Kensington and Chelsea,60.9,56.0
572,Kensington and Chelsea,69.7,65.2
573,Kensington and Chelsea,69.2,63.8
574,Kensington and Chelsea,66.8,61.7
575,Kensington and Chelsea,65.8,61.4
576,Kingston upon Thames,82.1,79.2
577,Kingston upon Thames,72.3,68.4
578,Kingston upon Thames,70.6,66.6
579,Kingston upon Thames,71.0,67.6
580,Kingston upon Thames,68.4,63.2
581,Kingston upon Thames,73.3,68.7
582,Kingston upon Thames,77.6,74.2
583,Kingston upon Thames,80.6,77.5
584,Kingston upon Thames,68.9,64.7
585,Kingston upon Thames,75.3,71.1
586,Kingston upon Thames,73.1,69.7
587,Kingston upon Thames,79.6,76.3
588,Kingston upon Thames,78.6,75.4
589,Kingston upon Thames,87.0,84.4
590,Kingston upon Thames,84.2,81.6
591,Kingston upon Thames,83.0,80.2
592,Kingston upon Thames,76.8,73.1
593,Kingston upon Thames,82.8,79.4
594,Kingston upon Thames,85.2,82.8
595,Kingston upon Thames,82.0,78.3
596,Lambeth,66.1,62.5
597,Lambeth,66.6,61.9
598,Lambeth,64.4,57.4
599,Lambeth,65.2,61.6
600,Lambeth,63.4,59.7
601,Lambeth,64.8,61.5
602,Lambeth,61.5,57.6
603,Lambeth,57.9,53.9
604,Lambeth,63.4,59.7
605,Lambeth,60.0,55.9
606,Lambeth,69.8,66.4
607,Lambeth,70.0,67.0
608,Lambeth,71.5,68.4
609,Lambeth,68.7,65.8
610,Lambeth,63.8,60.0
611,Lambeth,65.1,61.8
612,Lambeth,69.2,65.7
613,Lambeth,74.4,71.4
614,Lambeth,70.1,67.2
615,Lambeth,64.7,61.2
616,Lambeth,63.7,59.9
617,Lambeth,73.1,70.4
618,Lambeth,61.4,56.9
619,Lambeth,72.8,69.5
620,Lambeth,69.2,65.6
621,Lambeth,70.0,66.6
622,Lambeth,73.0,69.9
623,Lambeth,69.0,65.7
624,Lambeth,71.4,68.1
625,Lambeth,61.9,58.4
626,Lambeth,67.5,64.0
627,Lambeth,67.0,63.4
628,Lambeth,67.4,64.0
629,Lambeth,60.4,56.3
630,Lewisham,65.8,61.6
631,Lewisham,63.0,58.5
632,Lewisham,64.0,59.3
633,Lewisham,64.5,59.7
634,Lewisham,67.8,64.5
635,Lewisham,69.0,64.1
636,Lewisham,68.4,64.8
637,Lewisham,74.0,70.7
638,Lewisham,63.5,59.6
639,Lewisham,70.6,66.6
640,Lewisham,64.6,59.8
641,Lewisham,71.6,67.6
642,Lewisham,72.9,69.3
643,Lewisham,76.5,73.2
644,Lewisham,75.8,73.1
645,Lewisham,69.6,66.0
646,Lewisham,62.1,58.2
647,Lewisham,75.1,72.2
648,Lewisham,67.0,62.8
649,Lewisham,77.0,73.7
650,Lewisham,69.2,65.4
651,Lewisham,72.1,68.5
652,Lewisham,74.0,71.0
653,Lewisham,68.0,64.4
654,Lewisham,65.9,61.4
655,Lewisham,71.7,67.9
656,Lewisham,71.0,67.4
657,Lewisham,65.1,60.9
658,Lewisham,64.4,59.3
659,Lewisham,65.1,61.4
660,Lewisham,70.1,66.3
661,Lewisham,62.2,57.0
662,Lewisham,71.4,67.7
663,Merton,76.7,74.1
664,Merton,74.7,71.6
665,Merton,74.0,70.8
666,Merton,70.6,67.6
667,Merton,68.6,65.6
668,Merton,73.5,70.3
669,Merton,64.9,61.0
670,Merton,64.5,60.5
671,Merton,75.3,72.0
672,Merton,76.4,73.7
673,Merton,77.4,74.3
674,Merton,65.7,61.2
675,Merton,66.2,61.9
676,Merton,66.2,61.9
677,Merton,80.0,77.0
678,Merton,72.5,69.2
679,Merton,65.9,62.1
680,Merton,65.3,60.2
681,Merton,63.8,59.2
682,Merton,76.2,72.9
683,Merton,80.9,77.9
684,Merton,71.8,67.6
685,Merton,68.6,64.6
686,Merton,73.6,69.6
687,Merton,81.0,77.9
688,Newham,61.8,57.4
689,Newham,64.3,58.4
690,Newham,62.7,57.6
691,Newham,64.3,58.8
692,Newham,63.7,57.7
693,Newham,57.5,52.9
694,Newham,63.3,59.1
695,Newham,60.9,55.6
696,Newham,56.4,52.1
697,Newham,61.4,55.9
698,Newham,62.1,56.5
699,Newham,58.3,54.2
700,Newham,67.4,61.6
701,Newham,62.0,56.8
702,Newham,61.5,56.4
703,Newham,59.4,55.2
704,Newham,61.1,55.8
705,Newham,62.1,57.3
706,Newham,66.8,61.2
707,Newham,57.7,53.1
708,Newham,61.5,56.5
709,Newham,62.3,57.1
710,Newham,63.0,57.4
711,Newham,65.3,60.1
712,Newham,64.3,59.4
713,Newham,58.9,54.4
714,Newham,60.7,56.1
715,Newham,62.7,58.2
716,Newham,61.2,56.3
717,Newham,61.5,56.5
718,Newham,59.4,54.8
719,Newham,57.9,53.7
720,Newham,59.8,55.2
721,Newham,65.0,60.1
722,Newham,52.0,48.5
723,Newham,59.6,54.2
724,Newham,66.5,61.4
725,Redbridge,83.8,81.5
726,Redbridge,68.3,64.7
727,Redbridge,67.3,63.7
728,Redbridge,74.7,71.7
729,Redbridge,74.2,70.9
730,Redbridge,70.6,66.9
731,Redbridge,78.9,76.0
732,Redbridge,77.2,73.2
733,Redbridge,74.2,70.6
734,Redbridge,72.2,68.1
735,Redbridge,77.2,73.5
736,Redbridge,72.7,68.7
737,Redbridge,81.6,79.1
738,Redbridge,70.6,66.2
739,Redbridge,71.0,65.9
740,Redbridge,82.5,79.9
741,Redbridge,69.8,65.0
742,Redbridge,72.5,68.1
743,Redbridge,67.7,62.7
744,Redbridge,70.9,65.9
745,Redbridge,67.0,62.1
746,Redbridge,67.9,63.3
747,Redbridge,79.2,76.2
748,Redbridge,59.4,54.3
749,Redbridge,60.6,54.8
750,Redbridge,69.6,65.0
751,Redbridge,60.7,54.8
752,Redbridge,59.9,54.4
753,Richmond upon Thames,74.0,71.0
754,Richmond upon Thames,79.4,76.6
755,Richmond upon Thames,74.2,71.5
756,Richmond upon Thames,74.5,71.1
757,Richmond upon Thames,79.4,76.8
758,Richmond upon Thames,76.3,73.4
759,Richmond upon Thames,80.7,78.0
760,Richmond upon Thames,68.0,64.4
761,Richmond upon Thames,77.0,73.7
762,Richmond upon Thames,80.5,77.2
763,Richmond upon Thames,81.6,78.4
764,Richmond upon Thames,79.8,76.3
765,Richmond upon Thames,78.8,75.0
766,Richmond upon Thames,78.5,76.1
767,Richmond upon Thames,80.6,77.3
768,Richmond upon Thames,78.7,76.2
769,Richmond upon Thames,77.0,72.8
770,Richmond upon Thames,84.3,81.6
771,Richmond upon Thames,84.3,81.9
772,Richmond upon Thames,80.2,77.1
773,Richmond upon Thames,83.4,81.2
774,Richmond upon Thames,79.6,76.7
775,Richmond upon Thames,84.6,82.0
776,Southwark,70.8,67.1
777,Southwark,62.5,55.1
778,Southwark,69.3,64.5
779,Southwark,68.7,64.8
780,Southwark,63.5,58.7
781,Southwark,67.3,62.9
782,Southwark,65.8,62.5
783,Southwark,66.1,58.6
784,Southwark,67.2,62.8
785,Southwark,68.4,64.1
786,Southwark,67.0,61.9
787,Southwark,66.3,61.7
788,Southwark,63.4,58.2
789,Southwark,59.0,54.2
790,Southwark,62.0,57.5
791,Southwark,65.7,61.4
792,Southwark,60.9,56.3
793,Southwark,61.5,56.7
794,Southwark,65.5,61.5
795,Southwark,66.5,61.5
796,Southwark,63.5,58.5
797,Southwark,66.8,62.6
798,Southwark,72.7,68.0
799,Southwark,70.5,66.1
800,Southwark,67.5,63.4
801,Southwark,68.5,64.6
802,Southwark,78.2,75.4
803,Southwark,75.2,71.6
804,Southwark,78.8,76.1
805,Southwark,84.2,81.6
806,Southwark,74.9,69.2
807,Southwark,73.3,69.6
808,Sutton,74.0,69.2
809,Sutton,73.5,68.7
810,Sutton,83.0,79.6
811,Sutton,80.2,77.3
812,Sutton,78.1,74.1
813,Sutton,79.9,76.9
814,Sutton,81.6,78.3
815,Sutton,85.3,82.5
816,Sutton,85.1,81.9
817,Sutton,82.2,79.1
818,Sutton,83.1,79.9
819,Sutton,72.7,67.9
820,Sutton,81.0,77.4
821,Sutton,81.2,77.7
822,Sutton,84.7,81.6
823,Sutton,87.4,84.9
824,Sutton,81.4,77.8
825,Sutton,76.4,72.9
826,Sutton,72.7,67.8
827,Sutton,84.5,81.3
828,Sutton,75.9,72.2
829,Sutton,88.0,85.2
830,Sutton,84.4,81.5
831,Tower Hamlets,71.3,67.0
832,Tower Hamlets,68.8,63.4
833,Tower Hamlets,72.4,68.3
834,Tower Hamlets,69.7,65.4
835,Tower Hamlets,71.2,66.1
836,Tower Hamlets,71.2,66.2
837,Tower Hamlets,70.0,64.7
838,Tower Hamlets,66.6,61.1
839,Tower Hamlets,69.5,63.6
840,Tower Hamlets,57.1,50.1
841,Tower Hamlets,65.5,59.0
842,Tower Hamlets,68.9,63.9
