regionCode,regionName,UtlaCode,UtlaName,LtlaCode,LtlaName,areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000133,Chislehurst West & Elmstead,msoa,12/10/2022,87.9,85.7,72.8
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000134,Bromley North & Sundridge,msoa,12/10/2022,76.4,73.4,58.3
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000135,Anerley North & Penge West,msoa,12/10/2022,67.5,63.6,45.6
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000136,Chislehurst East & Hoblingwell Wood,msoa,12/10/2022,81.1,78.3,65.5
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000137,Shortlands Bromley Road,msoa,12/10/2022,82.3,80,67
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000138,Beckenham East & Kelsey Park,msoa,12/10/2022,83.4,81.2,69.7
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000139,Clock House & Cator Park,msoa,12/10/2022,82.4,79.6,65.4
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000140,St Mary Cray North,msoa,12/10/2022,74.5,69.9,52.1
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000141,Anerley South,msoa,12/10/2022,76.7,73.9,58.6
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000142,Widmore,msoa,12/10/2022,84.4,82.4,68.6
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000144,Bromley South,msoa,12/10/2022,79.7,76.4,62.2
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000145,St Mary Cray East,msoa,12/10/2022,72.6,68.4,50.5
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000146,Bickley West,msoa,12/10/2022,82.2,79.8,65.3
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000147,Langley Park,msoa,12/10/2022,85.8,83.8,71.2
E12000007,London,E09000006,Bromley,E09000006,Bromley,E02000148,Bickley East,msoa,12/10/2022,86.7,84.8,72
