,1st_Dose_Uptake_%,2nd_Dose_Uptake_%,MSOA11CD,MSOA11NM,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,Region,Borough,Code,Unnamed: 10
Brent,64.02647059,,E02000106,Brent 014,0.623666438,0.219438191,0.06655574,0.110697857,West,Brent,E09000005,
Brent,64.02647059,,E02000107,Brent 015,0.46530116,0.128226712,0.064347175,0.047231575,West,Brent,E09000005,
Brent,64.02647059,,E02000108,Brent 016,0.737849332,0.149605103,0.070473876,0.273390036,West,Brent,E09000005,
Brent,64.02647059,,E02000109,Brent 017,0.762672344,0.220397405,0.074716139,0.265308191,West,Brent,E09000005,
Brent,64.02647059,,E02000110,Brent 018,0.469271671,0.139854087,0.062940522,0.078150117,West,Brent,E09000005,
Brent,64.02647059,,E02000111,Brent 019,0.837865467,0.119914128,0.067982008,0.454099366,West,Brent,E09000005,
Brent,64.02647059,,E02000112,Brent 020,0.789334182,0.178011026,0.068914334,0.340436811,West,Brent,E09000005,
Brent,64.02647059,,E02000113,Brent 021,0.752563439,0.441740031,0.046400829,0.07426204,West,Brent,E09000005,
Brent,64.02647059,,E02000114,Brent 022,0.47436182,0.150721421,0.055715871,0.069700333,West,Brent,E09000005,
Brent,64.02647059,,E02000115,Brent 023,0.378776978,0.116786571,0.017625899,0.040047962,West,Brent,E09000005,
Brent,64.02647059,,E02000116,Brent 024,0.592297314,0.228995462,0.045014105,0.08131976,West,Brent,E09000005,
Brent,64.02647059,,E02000117,Brent 025,0.68875385,0.418296845,0.045866977,0.041538333,West,Brent,E09000005,
Brent,64.02647059,,E02000118,Brent 026,0.826843501,0.151193634,0.052201592,0.386312997,West,Brent,E09000005,
Brent,64.02647059,,E02000119,Brent 027,0.781456954,0.511589404,0.027593819,0.044012141,West,Brent,E09000005,
Brent,64.02647059,,E02000120,Brent 028,0.35815064,0.122422401,0.016713697,0.02832646,West,Brent,E09000005,
Brent,64.02647059,,E02000121,Brent 029,0.839695511,0.083958357,0.051382514,0.492891526,West,Brent,E09000005,
